epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,29172.9,0.65531,0.50826,0.80982,0.85885,0.8475,0.87994,0.68202,1.0654,0.6346,0.84489,5.35353e-05,5.35353e-05,5.35353e-05
69,29602.7,0.65715,0.51052,0.80736,0.86071,0.84292,0.8752,0.67093,1.10343,0.6314,0.84912,5.19612e-05,5.19612e-05,5.19612e-05
70,30031.3,0.6589,0.5052,0.8107,0.86737,0.84585,0.88154,0.67873,1.08893,0.62948,0.84692,5.03871e-05,5.03871e-05,5.03871e-05
71,30460.1,0.65507,0.50301,0.809,0.83695,0.86287,0.87821,0.67269,1.09059,0.62787,0.84839,4.8813e-05,4.8813e-05,4.8813e-05
72,30888.9,0.65663,0.50734,0.80918,0.86909,0.83958,0.88246,0.67678,1.11434,0.63664,0.85344,4.72389e-05,4.72389e-05,4.72389e-05
73,31317.2,0.64855,0.50025,0.80848,0.86158,0.85848,0.88009,0.67575,1.07895,0.62485,0.84678,4.56648e-05,4.56648e-05,4.56648e-05
74,31745.6,0.64342,0.49937,0.80776,0.85375,0.86075,0.88225,0.67459,1.14266,0.64854,0.85798,4.40907e-05,4.40907e-05,4.40907e-05
75,32173.3,0.64592,0.49821,0.8078,0.85424,0.85982,0.88021,0.67956,1.07586,0.62225,0.84625,4.25166e-05,4.25166e-05,4.25166e-05
76,32601.5,0.64273,0.49288,0.80778,0.83989,0.86454,0.87716,0.67041,1.12299,0.63975,0.85481,4.09425e-05,4.09425e-05,4.09425e-05
77,33031.6,0.64152,0.49254,0.80792,0.85437,0.8585,0.87763,0.67505,1.12523,0.63615,0.8541,3.93684e-05,3.93684e-05,3.93684e-05
78,33461.5,0.64116,0.48963,0.80793,0.8463,0.85816,0.87431,0.66956,1.12457,0.64863,0.85538,3.77943e-05,3.77943e-05,3.77943e-05
79,33890.4,0.63883,0.48501,0.80768,0.84651,0.85616,0.87498,0.67441,1.08195,0.62827,0.84854,3.62202e-05,3.62202e-05,3.62202e-05
80,34319.6,0.63833,0.48746,0.80761,0.86208,0.85846,0.88079,0.6628,1.14454,0.6412,0.85756,3.46461e-05,3.46461e-05,3.46461e-05
